Array count,Array size,Sorter,Time
870,8,std::sort,206100
880,8,own sorting network,487228600
880,8,openmp sorting network,288300
880,8,sequential sorting network,305700
880,8,std::sort,206600
890,8,own sorting network,493191200
890,8,openmp sorting network,281500
890,8,sequential sorting network,284900
890,8,std::sort,218400
900,8,own sorting network,495054700
900,8,openmp sorting network,287500
900,8,sequential sorting network,297700
900,8,std::sort,213900
910,8,own sorting network,500365500
910,8,openmp sorting network,282800
910,8,sequential sorting network,284900
910,8,std::sort,218500
920,8,own sorting network,508132000
920,8,openmp sorting network,298700
920,8,sequential sorting network,288300
920,8,std::sort,212500
930,8,own sorting network,508363300
930,8,openmp sorting network,290300
930,8,sequential sorting network,290800
930,8,std::sort,213400
940,8,own sorting network,516643900
940,8,openmp sorting network,303700
940,8,sequential sorting network,320300
940,8,std::sort,232800
950,8,own sorting network,544442000
950,8,openmp sorting network,325600
950,8,sequential sorting network,350000
950,8,std::sort,245700
960,8,own sorting network,534599100
960,8,openmp sorting network,297900
960,8,sequential sorting network,309000
960,8,std::sort,224400
970,8,own sorting network,531901000
970,8,openmp sorting network,309900
970,8,sequential sorting network,320400
970,8,std::sort,226800
980,8,own sorting network,539400100
980,8,openmp sorting network,317800
980,8,sequential sorting network,314900
980,8,std::sort,240300
990,8,own sorting network,541662200
990,8,openmp sorting network,324000
990,8,sequential sorting network,325000
990,8,std::sort,235300
1000,8,own sorting network,551171200
1000,8,openmp sorting network,309100
1000,8,sequential sorting network,317400
1000,8,std::sort,233100
10,16,own sorting network,18311100
10,16,openmp sorting network,11600
10,16,sequential sorting network,11100
10,16,std::sort,6900
20,16,own sorting network,36388100
20,16,openmp sorting network,21700
20,16,sequential sorting network,21100
20,16,std::sort,12400
30,16,own sorting network,53060200
30,16,openmp sorting network,31200
30,16,sequential sorting network,30700
30,16,std::sort,17800
40,16,own sorting network,71760300
40,16,openmp sorting network,41400
40,16,sequential sorting network,41500
40,16,std::sort,23500
50,16,own sorting network,89143100
50,16,openmp sorting network,51700
50,16,sequential sorting network,59400
50,16,std::sort,30000
60,16,own sorting network,107100300
60,16,openmp sorting network,101300
60,16,sequential sorting network,61900
60,16,std::sort,35000
70,16,own sorting network,128300000
70,16,openmp sorting network,83000
70,16,sequential sorting network,74600
70,16,std::sort,41600
80,16,own sorting network,145866200
80,16,openmp sorting network,81800
80,16,sequential sorting network,82400
80,16,std::sort,48000
90,16,own sorting network,160336600
90,16,openmp sorting network,95200
90,16,sequential sorting network,94000
90,16,std::sort,52900
100,16,own sorting network,178196100
100,16,openmp sorting network,101300
100,16,sequential sorting network,101600
100,16,std::sort,59500
110,16,own sorting network,197353600
110,16,openmp sorting network,119400
110,16,sequential sorting network,110800
110,16,std::sort,64000
120,16,own sorting network,214323000
120,16,openmp sorting network,125300
120,16,sequential sorting network,124800
120,16,std::sort,71900
130,16,own sorting network,244457100
130,16,openmp sorting network,137300
130,16,sequential sorting network,146700
130,16,std::sort,78700
140,16,own sorting network,260710600
140,16,openmp sorting network,144300
140,16,sequential sorting network,144600
140,16,std::sort,81600
150,16,own sorting network,274879900
150,16,openmp sorting network,149100
150,16,sequential sorting network,148200
150,16,std::sort,86700
160,16,own sorting network,287054100
160,16,openmp sorting network,159900
160,16,sequential sorting network,161800
160,16,std::sort,91200
170,16,own sorting network,306612000
170,16,openmp sorting network,169300
170,16,sequential sorting network,170900
170,16,std::sort,98300
180,16,own sorting network,323038000
180,16,openmp sorting network,183600
180,16,sequential sorting network,185400
180,16,std::sort,105700
190,16,own sorting network,344599700
190,16,openmp sorting network,190600
190,16,sequential sorting network,192400
190,16,std::sort,110400
200,16,own sorting network,357775200
200,16,openmp sorting network,200800
200,16,sequential sorting network,201200
200,16,std::sort,115800
210,16,own sorting network,373449200
210,16,openmp sorting network,213300
210,16,sequential sorting network,231600
210,16,std::sort,122500
220,16,own sorting network,402045300
220,16,openmp sorting network,220800
220,16,sequential sorting network,220200
220,16,std::sort,125900
230,16,own sorting network,415753100
230,16,openmp sorting network,228200
230,16,sequential sorting network,228600
230,16,std::sort,147000
240,16,own sorting network,449437500
240,16,openmp sorting network,261600
240,16,sequential sorting network,248800
240,16,std::sort,140800
250,16,own sorting network,465670400
250,16,openmp sorting network,253600
250,16,sequential sorting network,263300
250,16,std::sort,145000
260,16,own sorting network,468768900
260,16,openmp sorting network,260800
260,16,sequential sorting network,262500
260,16,std::sort,157000
270,16,own sorting network,484233000
270,16,openmp sorting network,267800
270,16,sequential sorting network,268600
270,16,std::sort,160600
280,16,own sorting network,517874000
280,16,openmp sorting network,285100
280,16,sequential sorting network,286400
280,16,std::sort,163300
290,16,own sorting network,517683000
290,16,openmp sorting network,288100
290,16,sequential sorting network,297000
290,16,std::sort,166900
300,16,own sorting network,532325400
300,16,openmp sorting network,321200
300,16,sequential sorting network,301800
300,16,std::sort,180200
310,16,own sorting network,557156500
310,16,openmp sorting network,307400
310,16,sequential sorting network,312400
310,16,std::sort,173800
320,16,own sorting network,593884600
320,16,openmp sorting network,320600
320,16,sequential sorting network,321400
320,16,std::sort,179900
330,16,own sorting network,582208400
330,16,openmp sorting network,327000
330,16,sequential sorting network,329300
330,16,std::sort,187300
340,16,own sorting network,592698400
340,16,openmp sorting network,347900
340,16,sequential sorting network,342900
340,16,std::sort,190300
350,16,own sorting network,604489200
350,16,openmp sorting network,352300
350,16,sequential sorting network,356600
350,16,std::sort,207300
360,16,own sorting network,630068800
360,16,openmp sorting network,359700
360,16,sequential sorting network,366800
360,16,std::sort,206100
370,16,own sorting network,655736400
370,16,openmp sorting network,366900
370,16,sequential sorting network,368800
370,16,std::sort,210200
380,16,own sorting network,670460400
380,16,openmp sorting network,384000
380,16,sequential sorting network,387600
380,16,std::sort,214600
390,16,own sorting network,691727600
390,16,openmp sorting network,481800
390,16,sequential sorting network,390700
390,16,std::sort,229100
400,16,own sorting network,693982900
400,16,openmp sorting network,385900
400,16,sequential sorting network,386900
400,16,std::sort,220800
410,16,own sorting network,710178400
410,16,openmp sorting network,411900
410,16,sequential sorting network,406200
410,16,std::sort,240000
420,16,own sorting network,722533400
420,16,openmp sorting network,413200
420,16,sequential sorting network,412800
420,16,std::sort,231600
430,16,own sorting network,756291600
430,16,openmp sorting network,455400
430,16,sequential sorting network,440000
430,16,std::sort,249800
440,16,own sorting network,770996400
440,16,openmp sorting network,425000
440,16,sequential sorting network,431300
440,16,std::sort,244700
450,16,own sorting network,772997800
450,16,openmp sorting network,450500
450,16,sequential sorting network,436200
450,16,std::sort,247400
460,16,own sorting network,787691300
460,16,openmp sorting network,443700
460,16,sequential sorting network,452400
460,16,std::sort,253500
470,16,own sorting network,807236900
470,16,openmp sorting network,464600
470,16,sequential sorting network,453900
470,16,std::sort,263700
480,16,own sorting network,832330200
480,16,openmp sorting network,462000
480,16,sequential sorting network,475500
480,16,std::sort,266200
490,16,own sorting network,843779200
