Array count,Array size,Sorter,Time
80,112,own sorting network,13123230200
80,112,openmp sorting network,6530500
80,112,sequential sorting network,6650200
80,112,std::sort,3194700
90,112,own sorting network,17182414300
90,112,openmp sorting network,8560000
90,112,sequential sorting network,8660300
90,112,std::sort,4095800
100,112,own sorting network,22045109700
100,112,openmp sorting network,10712900
100,112,sequential sorting network,10910800
100,112,std::sort,5061900
10,120,own sorting network,495669300
10,120,openmp sorting network,252500
10,120,sequential sorting network,242700
10,120,std::sort,109900
20,120,own sorting network,1453054900
20,120,openmp sorting network,724500
20,120,sequential sorting network,713800
20,120,std::sort,329000
30,120,own sorting network,2859723600
30,120,openmp sorting network,1429500
30,120,sequential sorting network,1415600
30,120,std::sort,643900
40,120,own sorting network,4723712600
40,120,openmp sorting network,2353000
40,120,sequential sorting network,2338700
40,120,std::sort,1048800
50,120,own sorting network,7000141100
50,120,openmp sorting network,3468100
50,120,sequential sorting network,3445800
50,120,std::sort,1540700
60,120,own sorting network,9759863500
60,120,openmp sorting network,4778300
60,120,sequential sorting network,4772400
60,120,std::sort,2134800
70,120,own sorting network,12949325600
70,120,openmp sorting network,6277100
70,120,sequential sorting network,6275700
70,120,std::sort,2812900
80,120,own sorting network,16464046500
80,120,openmp sorting network,8062800
80,120,sequential sorting network,8084400
80,120,std::sort,3606700
90,120,own sorting network,20530526400
90,120,openmp sorting network,10054900
90,120,sequential sorting network,10074700
90,120,std::sort,4500600
100,120,own sorting network,24975978600
100,120,openmp sorting network,12254600
100,120,sequential sorting network,12339600
100,120,std::sort,5486700
10,128,own sorting network,501273600
10,128,openmp sorting network,255700
10,128,sequential sorting network,246500
10,128,std::sort,111700
20,128,own sorting network,1577019000
20,128,openmp sorting network,797600
20,128,sequential sorting network,794200
20,128,std::sort,356400
30,128,own sorting network,3438747900
30,128,openmp sorting network,1747300
30,128,sequential sorting network,1727700
30,128,std::sort,747300
40,128,own sorting network,5631035300
40,128,openmp sorting network,2639100
40,128,sequential sorting network,2622700
40,128,std::sort,1346700
50,128,own sorting network,8018538400
50,128,openmp sorting network,4086900
50,128,sequential sorting network,4052900
50,128,std::sort,1974700
60,128,own sorting network,11049211400
60,128,openmp sorting network,5417500
60,128,sequential sorting network,5414300
60,128,std::sort,2583900
70,128,own sorting network,14157063500
70,128,openmp sorting network,6984900
70,128,sequential sorting network,6998600
70,128,std::sort,3263800
80,128,own sorting network,17828331300
80,128,openmp sorting network,8761200
80,128,sequential sorting network,8806600
80,128,std::sort,4044100
90,128,own sorting network,21645414300
90,128,openmp sorting network,10729800
90,128,sequential sorting network,10773300
90,128,std::sort,4928300
100,128,own sorting network,25870165900
100,128,openmp sorting network,12874400
100,128,sequential sorting network,12897100
100,128,std::sort,5875800
10,136,own sorting network,576610200
10,136,openmp sorting network,267200
10,136,sequential sorting network,260000
10,136,std::sort,101300
20,136,own sorting network,1739091100
20,136,openmp sorting network,795400
20,136,sequential sorting network,780400
20,136,std::sort,305000
30,136,own sorting network,3455798200
30,136,openmp sorting network,1620100
30,136,sequential sorting network,1576700
30,136,std::sort,622200
40,136,own sorting network,5738532900
40,136,openmp sorting network,2745100
40,136,sequential sorting network,2617500
40,136,std::sort,1036700
50,136,own sorting network,8552856400
50,136,openmp sorting network,4244700
50,136,sequential sorting network,4031400
50,136,std::sort,1583400
60,136,own sorting network,12390136500
60,136,openmp sorting network,5956900
60,136,sequential sorting network,5767800
60,136,std::sort,2253700
70,136,own sorting network,16583324600
70,136,openmp sorting network,7684200
70,136,sequential sorting network,7574400
70,136,std::sort,2935700
80,136,own sorting network,21206138800
80,136,openmp sorting network,9772900
80,136,sequential sorting network,9622400
80,136,std::sort,3727900
90,136,own sorting network,26327245700
90,136,openmp sorting network,12124800
90,136,sequential sorting network,11964500
90,136,std::sort,4659900
100,136,own sorting network,31990336400
100,136,openmp sorting network,14594900
100,136,sequential sorting network,14476700
100,136,std::sort,5619900
10,144,own sorting network,593306900
10,144,openmp sorting network,296500
10,144,sequential sorting network,270500
10,144,std::sort,104400
20,144,own sorting network,1815909300
20,144,openmp sorting network,839600
20,144,sequential sorting network,807400
20,144,std::sort,325400
30,144,own sorting network,3599412100
30,144,openmp sorting network,1716100
30,144,sequential sorting network,1620100
30,144,std::sort,643600
40,144,own sorting network,6040666300
40,144,openmp sorting network,2820400
40,144,sequential sorting network,2711500
40,144,std::sort,1071400
50,144,own sorting network,8909734800
50,144,openmp sorting network,4189800
50,144,sequential sorting network,4068200
50,144,std::sort,1610600
60,144,own sorting network,12407404700
60,144,openmp sorting network,5719500
60,144,sequential sorting network,5659300
60,144,std::sort,2215300
70,144,own sorting network,16263083100
70,144,openmp sorting network,7462600
70,144,sequential sorting network,7441200
70,144,std::sort,2908900
80,144,own sorting network,20899932000
80,144,openmp sorting network,9511700
80,144,sequential sorting network,9487100
80,144,std::sort,3784300
90,144,own sorting network,25989255300
90,144,openmp sorting network,11800400
90,144,sequential sorting network,11785400
90,144,std::sort,4701000
100,144,own sorting network,31578092000
100,144,openmp sorting network,14301000
100,144,sequential sorting network,14376300
100,144,std::sort,5686400
10,152,own sorting network,598312300
10,152,openmp sorting network,281800
10,152,sequential sorting network,271600
10,152,std::sort,108500
20,152,own sorting network,1888184300
20,152,openmp sorting network,856800
20,152,sequential sorting network,868200
20,152,std::sort,345300
30,152,own sorting network,3749013000
30,152,openmp sorting network,1709800
30,152,sequential sorting network,1716900
30,152,std::sort,681000
40,152,own sorting network,6149610700
40,152,openmp sorting network,2794100
40,152,sequential sorting network,2814200
40,152,std::sort,1108400
50,152,own sorting network,9139736300
50,152,openmp sorting network,4210300
50,152,sequential sorting network,4192700
50,152,std::sort,1710900
60,152,own sorting network,13087331900
60,152,openmp sorting network,5837100
60,152,sequential sorting network,5831300
60,152,std::sort,2358600
70,152,own sorting network,17219070100
70,152,openmp sorting network,7780400
70,152,sequential sorting network,7780100
70,152,std::sort,3108500
80,152,own sorting network,22111636200
80,152,openmp sorting network,9904700
80,152,sequential sorting network,9890400
80,152,std::sort,3965500
90,152,own sorting network,27380834400
90,152,openmp sorting network,12411300
90,152,sequential sorting network,12425300
90,152,std::sort,4928300
100,152,own sorting network,33501029500
100,152,openmp sorting network,15465600
100,152,sequential sorting network,15461900
100,152,std::sort,6139800
10,160,own sorting network,658139700
10,160,openmp sorting network,302400
10,160,sequential sorting network,314700
10,160,std::sort,121000
20,160,own sorting network,2030358500
20,160,openmp sorting network,917400
20,160,sequential sorting network,940200
20,160,std::sort,366900
30,160,own sorting network,4034364900
30,160,openmp sorting network,1818600
30,160,sequential sorting network,2178200
30,160,std::sort,746900
40,160,own sorting network,6664079000
40,160,openmp sorting network,2956100
40,160,sequential sorting network,3324100
40,160,std::sort,1206700
50,160,own sorting network,10601161800
50,160,openmp sorting network,4542200
50,160,sequential sorting network,4940200
50,160,std::sort,1846900
60,160,own sorting network,14809995900
60,160,openmp sorting network,6414700
60,160,sequential sorting network,6833500
60,160,std::sort,2589300
70,160,own sorting network,20017852100
70,160,openmp sorting network,8935200
70,160,sequential sorting network,9476100
70,160,std::sort,3658300
80,160,own sorting network,26061152500
80,160,openmp sorting network,11717200
80,160,sequential sorting network,12257700
80,160,std::sort,4760500
90,160,own sorting network,32850613900
90,160,openmp sorting network,14425700
90,160,sequential sorting network,14964900
90,160,std::sort,5837400
100,160,own sorting network,39482735600
100,160,openmp sorting network,17427300
100,160,sequential sorting network,17971900
100,160,std::sort,7025100
10,168,own sorting network,687162100
10,168,openmp sorting network,349500
10,168,sequential sorting network,322800
10,168,std::sort,128600
20,168,own sorting network,2046158300
20,168,openmp sorting network,991900
20,168,sequential sorting network,972500
20,168,std::sort,382400
30,168,own sorting network,4075760200
30,168,openmp sorting network,1934800
30,168,sequential sorting network,1911600
30,168,std::sort,760800
40,168,own sorting network,6898066100
40,168,openmp sorting network,3210300
40,168,sequential sorting network,3227300
40,168,std::sort,1279000
50,168,own sorting network,10347442800
50,168,openmp sorting network,4779700
50,168,sequential sorting network,4776700
50,168,std::sort,1900500
60,168,own sorting network,14419435600
60,168,openmp sorting network,6736600
60,168,sequential sorting network,6734100
60,168,std::sort,2663200
70,168,own sorting network,19263562100
70,168,openmp sorting network,8948100
70,168,sequential sorting network,8994300
70,168,std::sort,3548600
80,168,own sorting network,24787105300
80,168,openmp sorting network,11414000
80,168,sequential sorting network,11527800
80,168,std::sort,4540300
90,168,own sorting network,31039101100
90,168,openmp sorting network,14192100
90,168,sequential sorting network,14340300
90,168,std::sort,5654500
100,168,own sorting network,37789285100
100,168,openmp sorting network,17292000
100,168,sequential sorting network,17476300
100,168,std::sort,6911700
10,176,own sorting network,745277800
10,176,openmp sorting network,333900
10,176,sequential sorting network,339200
10,176,std::sort,136100
20,176,own sorting network,2180739600
20,176,openmp sorting network,1056300
20,176,sequential sorting network,1023900
20,176,std::sort,397600
30,176,own sorting network,4338813200
30,176,openmp sorting network,2054300
30,176,sequential sorting network,2037700
30,176,std::sort,785300
40,176,own sorting network,7220531000
