Array count,Array size,Sorter,Time
20,112,own sorting network,819377000
20,112,openmp sorting network,465900
20,112,sequential sorting network,466100
20,112,std::sort,240400
30,112,own sorting network,1653525000
30,112,openmp sorting network,928900
30,112,sequential sorting network,961000
30,112,std::sort,452200
40,112,own sorting network,2740225800
40,112,openmp sorting network,1592100
40,112,sequential sorting network,1693800
40,112,std::sort,767700
50,112,own sorting network,4103217000
50,112,openmp sorting network,2367900
50,112,sequential sorting network,2491600
50,112,std::sort,1116100
60,112,own sorting network,5650629900
60,112,openmp sorting network,3299300
60,112,sequential sorting network,3447700
60,112,std::sort,1540400
70,112,own sorting network,7505164700
70,112,openmp sorting network,4395100
70,112,sequential sorting network,4528300
70,112,std::sort,2049200
80,112,own sorting network,9654208900
80,112,openmp sorting network,5625100
80,112,sequential sorting network,5869000
80,112,std::sort,2648000
90,112,own sorting network,12065761600
90,112,openmp sorting network,7143100
90,112,sequential sorting network,7491100
90,112,std::sort,3386600
100,112,own sorting network,14797461000
100,112,openmp sorting network,8683100
100,112,sequential sorting network,9033400
100,112,std::sort,4092000
10,120,own sorting network,275226100
10,120,openmp sorting network,169400
10,120,sequential sorting network,168500
10,120,std::sort,77100
20,120,own sorting network,793024200
20,120,openmp sorting network,504700
20,120,sequential sorting network,529900
20,120,std::sort,236400
30,120,own sorting network,1638040900
30,120,openmp sorting network,1049800
30,120,sequential sorting network,1046800
30,120,std::sort,463800
40,120,own sorting network,2774058900
40,120,openmp sorting network,1725100
40,120,sequential sorting network,1732100
40,120,std::sort,766000
50,120,own sorting network,4152427500
50,120,openmp sorting network,2676600
50,120,sequential sorting network,2835600
50,120,std::sort,1213000
60,120,own sorting network,5868879800
60,120,openmp sorting network,3710000
60,120,sequential sorting network,3869400
60,120,std::sort,1665800
70,120,own sorting network,7892332200
70,120,openmp sorting network,4883500
70,120,sequential sorting network,5104900
70,120,std::sort,2195900
80,120,own sorting network,10316638600
80,120,openmp sorting network,6223700
80,120,sequential sorting network,6444000
80,120,std::sort,2809700
90,120,own sorting network,13129624300
90,120,openmp sorting network,7765200
90,120,sequential sorting network,7948700
90,120,std::sort,3497500
100,120,own sorting network,15967529700
100,120,openmp sorting network,9438400
100,120,sequential sorting network,9658400
100,120,std::sort,4262500
10,128,own sorting network,289739200
10,128,openmp sorting network,181000
10,128,sequential sorting network,188300
10,128,std::sort,83700
20,128,own sorting network,867882600
20,128,openmp sorting network,573600
20,128,sequential sorting network,577300
20,128,std::sort,254000
30,128,own sorting network,1773958800
30,128,openmp sorting network,1137200
30,128,sequential sorting network,1168300
30,128,std::sort,517400
40,128,own sorting network,2999702800
40,128,openmp sorting network,1964600
40,128,sequential sorting network,2002000
40,128,std::sort,895900
50,128,own sorting network,4733045300
50,128,openmp sorting network,3050100
50,128,sequential sorting network,3091100
50,128,std::sort,1383800
60,128,own sorting network,6761722200
60,128,openmp sorting network,4433200
60,128,sequential sorting network,4489800
60,128,std::sort,2010000
70,128,own sorting network,9153967600
70,128,openmp sorting network,6056600
70,128,sequential sorting network,6179200
70,128,std::sort,2700300
80,128,own sorting network,11948432600
80,128,openmp sorting network,7907400
80,128,sequential sorting network,8017700
80,128,std::sort,3534400
90,128,own sorting network,15439608100
90,128,openmp sorting network,9809000
90,128,sequential sorting network,9937300
90,128,std::sort,4384000
100,128,own sorting network,19280824600
100,128,openmp sorting network,11916300
100,128,sequential sorting network,12191400
100,128,std::sort,5331400
10,136,own sorting network,525388100
10,136,openmp sorting network,260600
10,136,sequential sorting network,259100
10,136,std::sort,104200
20,136,own sorting network,1550381700
20,136,openmp sorting network,783600
20,136,sequential sorting network,806500
20,136,std::sort,309200
30,136,own sorting network,3102614100
30,136,openmp sorting network,1550900
30,136,sequential sorting network,1606700
30,136,std::sort,626100
40,136,own sorting network,5148245400
40,136,openmp sorting network,2600400
40,136,sequential sorting network,2649700
40,136,std::sort,1033000
50,136,own sorting network,7705472400
50,136,openmp sorting network,3889500
50,136,sequential sorting network,3956100
50,136,std::sort,1544600
60,136,own sorting network,10696139900
60,136,openmp sorting network,5403200
60,136,sequential sorting network,5463900
60,136,std::sort,2171900
70,136,own sorting network,14246148000
70,136,openmp sorting network,7279300
70,136,sequential sorting network,7340600
70,136,std::sort,2913000
80,136,own sorting network,18270045900
80,136,openmp sorting network,9355700
80,136,sequential sorting network,9424600
80,136,std::sort,3736700
90,136,own sorting network,22717219700
90,136,openmp sorting network,11600500
90,136,sequential sorting network,11756800
90,136,std::sort,4633800
100,136,own sorting network,27528933400
100,136,openmp sorting network,14188200
100,136,sequential sorting network,14335700
100,136,std::sort,5666500
10,144,own sorting network,539511000
10,144,openmp sorting network,269200
10,144,sequential sorting network,271700
10,144,std::sort,107300
20,144,own sorting network,1660813600
20,144,openmp sorting network,914400
20,144,sequential sorting network,932700
20,144,std::sort,362500
30,144,own sorting network,3281155000
30,144,openmp sorting network,1727900
30,144,sequential sorting network,1721800
30,144,std::sort,673500
40,144,own sorting network,5317311000
40,144,openmp sorting network,2770300
40,144,sequential sorting network,2765900
40,144,std::sort,1191100
50,144,own sorting network,7908622100
50,144,openmp sorting network,4181500
50,144,sequential sorting network,4083900
50,144,std::sort,1706200
60,144,own sorting network,10889208100
60,144,openmp sorting network,5723100
60,144,sequential sorting network,5620400
60,144,std::sort,2328600
70,144,own sorting network,14332669000
70,144,openmp sorting network,7714800
70,144,sequential sorting network,7636200
70,144,std::sort,3123700
80,144,own sorting network,18362512500
80,144,openmp sorting network,9813900
80,144,sequential sorting network,9742100
80,144,std::sort,3961000
90,144,own sorting network,22835558400
90,144,openmp sorting network,12241200
90,144,sequential sorting network,12397900
90,144,std::sort,4927200
100,144,own sorting network,27796835500
100,144,openmp sorting network,14776400
100,144,sequential sorting network,14944700
100,144,std::sort,5939000
10,152,own sorting network,526195900
10,152,openmp sorting network,288500
10,152,sequential sorting network,281700
10,152,std::sort,108500
20,152,own sorting network,1584993800
20,152,openmp sorting network,829100
20,152,sequential sorting network,819600
20,152,std::sort,318400
30,152,own sorting network,3173225300
30,152,openmp sorting network,1622000
30,152,sequential sorting network,1619300
30,152,std::sort,660400
40,152,own sorting network,5234081000
40,152,openmp sorting network,2703700
40,152,sequential sorting network,2681300
40,152,std::sort,1089700
50,152,own sorting network,7780868200
50,152,openmp sorting network,4024500
50,152,sequential sorting network,4157600
50,152,std::sort,1762900
60,152,own sorting network,10848933600
60,152,openmp sorting network,5568600
60,152,sequential sorting network,5734400
60,152,std::sort,2390900
70,152,own sorting network,14441006200
70,152,openmp sorting network,7373200
70,152,sequential sorting network,7584100
70,152,std::sort,3116400
80,152,own sorting network,18455170200
80,152,openmp sorting network,9435000
80,152,sequential sorting network,9668800
80,152,std::sort,3942000
90,152,own sorting network,23004399700
90,152,openmp sorting network,11736300
90,152,sequential sorting network,11968300
90,152,std::sort,4845300
100,152,own sorting network,28007034000
100,152,openmp sorting network,14282800
100,152,sequential sorting network,14793900
100,152,std::sort,5865900
10,160,own sorting network,519866500
10,160,openmp sorting network,282600
10,160,sequential sorting network,272800
10,160,std::sort,109200
20,160,own sorting network,1565145100
20,160,openmp sorting network,822200
20,160,sequential sorting network,812200
20,160,std::sort,324700
30,160,own sorting network,3029293800
30,160,openmp sorting network,1638000
30,160,sequential sorting network,1644400
30,160,std::sort,650100
40,160,own sorting network,5138762400
40,160,openmp sorting network,2690700
40,160,sequential sorting network,2726100
40,160,std::sort,1076600
50,160,own sorting network,7778714300
50,160,openmp sorting network,4055200
50,160,sequential sorting network,4099700
50,160,std::sort,1638100
60,160,own sorting network,10892622300
60,160,openmp sorting network,5708700
60,160,sequential sorting network,5729500
60,160,std::sort,2332200
70,160,own sorting network,14548547100
70,160,openmp sorting network,7586300
70,160,sequential sorting network,7575900
70,160,std::sort,3097100
80,160,own sorting network,18670827000
80,160,openmp sorting network,10009600
80,160,sequential sorting network,10007800
80,160,std::sort,4066900
90,160,own sorting network,23363839300
90,160,openmp sorting network,12607100
90,160,sequential sorting network,12437000
90,160,std::sort,5055200
100,160,own sorting network,28547974100
100,160,openmp sorting network,15868600
100,160,sequential sorting network,15686200
100,160,std::sort,6368200
10,168,own sorting network,579082100
10,168,openmp sorting network,299700
10,168,sequential sorting network,288400
10,168,std::sort,117600
20,168,own sorting network,1689121900
20,168,openmp sorting network,858300
20,168,sequential sorting network,870500
20,168,std::sort,343600
30,168,own sorting network,3330499100
30,168,openmp sorting network,1777700
30,168,sequential sorting network,1774700
30,168,std::sort,703600
40,168,own sorting network,5437065200
40,168,openmp sorting network,2985200
40,168,sequential sorting network,2976500
40,168,std::sort,1172900
50,168,own sorting network,8089985000
50,168,openmp sorting network,4559900
50,168,sequential sorting network,4554500
50,168,std::sort,1786200
60,168,own sorting network,11391641200
60,168,openmp sorting network,6289700
60,168,sequential sorting network,6260000
60,168,std::sort,2474400
70,168,own sorting network,15230134500
70,168,openmp sorting network,8285000
70,168,sequential sorting network,8232400
70,168,std::sort,3265500
80,168,own sorting network,19601946000
80,168,openmp sorting network,10578200
80,168,sequential sorting network,10546200
80,168,std::sort,4247100
90,168,own sorting network,24520185300
90,168,openmp sorting network,13374200
90,168,sequential sorting network,13340500
90,168,std::sort,5368600
100,168,own sorting network,29870609600
100,168,openmp sorting network,16613200
100,168,sequential sorting network,16341500
100,168,std::sort,6550900
10,176,own sorting network,548902000
10,176,openmp sorting network,326300
10,176,sequential sorting network,326400
10,176,std::sort,131500
20,176,own sorting network,1694249800
20,176,openmp sorting network,944600
20,176,sequential sorting network,1012100
20,176,std::sort,394700
30,176,own sorting network,3392621200
30,176,openmp sorting network,1923100
30,176,sequential sorting network,1990900
30,176,std::sort,785500
40,176,own sorting network,5571384200
40,176,openmp sorting network,3220400
40,176,sequential sorting network,3314700
40,176,std::sort,1306700
50,176,own sorting network,8466017100
50,176,openmp sorting network,4759800
50,176,sequential sorting network,4862800
50,176,std::sort,1930000
60,176,own sorting network,12021173500
60,176,openmp sorting network,6689600
60,176,sequential sorting network,6769600
60,176,std::sort,2698500
70,176,own sorting network,16227830100
70,176,openmp sorting network,8860700
70,176,sequential sorting network,8960700
70,176,std::sort,3565200
80,176,own sorting network,20869700000
80,176,openmp sorting network,11394700
80,176,sequential sorting network,11509700
80,176,std::sort,4612500
90,176,own sorting network,26206588000
90,176,openmp sorting network,14336900
90,176,sequential sorting network,14448800
90,176,std::sort,5795800
100,176,own sorting network,32087150500
100,176,openmp sorting network,17521800
100,176,sequential sorting network,17625100
100,176,std::sort,7082600
10,184,own sorting network,622559300
10,184,openmp sorting network,335500
10,184,sequential sorting network,344100
10,184,std::sort,135200
20,184,own sorting network,1879202000
20,184,openmp sorting network,1011700
20,184,sequential sorting network,1009500
20,184,std::sort,424200
30,184,own sorting network,3736858300
30,184,openmp sorting network,2011100
30,184,sequential sorting network,2037400
30,184,std::sort,826600
40,184,own sorting network,6085921300
40,184,openmp sorting network,3340400
40,184,sequential sorting network,3371800
40,184,std::sort,1428900
50,184,own sorting network,9155005200
50,184,openmp sorting network,5001600
50,184,sequential sorting network,5043400
50,184,std::sort,2173700
60,184,own sorting network,12906956600
60,184,openmp sorting network,6997900
60,184,sequential sorting network,7133300
60,184,std::sort,2985100
70,184,own sorting network,17107260200
70,184,openmp sorting network,9322800
70,184,sequential sorting network,9501000
70,184,std::sort,3933600
80,184,own sorting network,22046897300
80,184,openmp sorting network,12212900
80,184,sequential sorting network,12171500
80,184,std::sort,5014600
90,184,own sorting network,27181177200
90,184,openmp sorting network,15478100
90,184,sequential sorting network,15519000
90,184,std::sort,6342400
100,184,own sorting network,32887270900
100,184,openmp sorting network,18920100
100,184,sequential sorting network,18966500
100,184,std::sort,7714300
10,192,own sorting network,637125300
10,192,openmp sorting network,358700
10,192,sequential sorting network,373200
10,192,std::sort,142800
20,192,own sorting network,1947961900
20,192,openmp sorting network,1068200
20,192,sequential sorting network,1081000
20,192,std::sort,424500
30,192,own sorting network,3815610200
30,192,openmp sorting network,2114100
30,192,sequential sorting network,2125900
30,192,std::sort,875800
40,192,own sorting network,6335872100
40,192,openmp sorting network,3508600
40,192,sequential sorting network,3516400
40,192,std::sort,1443000
50,192,own sorting network,9478708900
50,192,openmp sorting network,5238500
50,192,sequential sorting network,5333800
50,192,std::sort,2173200
60,192,own sorting network,13213128000
60,192,openmp sorting network,7329300
60,192,sequential sorting network,7449300
60,192,std::sort,3026700
70,192,own sorting network,17534796500
70,192,openmp sorting network,9727100
70,192,sequential sorting network,9847900
70,192,std::sort,3994400
80,192,own sorting network,22575863300
80,192,openmp sorting network,12512700
80,192,sequential sorting network,12628700
80,192,std::sort,5108200
90,192,own sorting network,28365333100
