Array count,Array size,Sorter,Time
60,160,own sorting network,12303046300
60,160,openmp sorting network,5993400
60,160,sequential sorting network,5817100
60,160,std::sort,2315500
70,160,own sorting network,16412672300
70,160,openmp sorting network,8037000
70,160,sequential sorting network,7804500
70,160,std::sort,3120300
80,160,own sorting network,21077308100
80,160,openmp sorting network,10194400
80,160,sequential sorting network,9963200
80,160,std::sort,4004300
90,160,own sorting network,26305905100
90,160,openmp sorting network,12677400
90,160,sequential sorting network,12497500
90,160,std::sort,5015500
100,160,own sorting network,32345939000
100,160,openmp sorting network,15433600
100,160,sequential sorting network,15251000
100,160,std::sort,6129500
10,168,own sorting network,627066700
10,168,openmp sorting network,305900
10,168,sequential sorting network,311200
10,168,std::sort,122200
20,168,own sorting network,1912813400
20,168,openmp sorting network,948600
20,168,sequential sorting network,895400
20,168,std::sort,367700
30,168,own sorting network,3813035400
30,168,openmp sorting network,1835500
30,168,sequential sorting network,1781400
30,168,std::sort,727500
40,168,own sorting network,6336516500
40,168,openmp sorting network,3040700
40,168,sequential sorting network,3054400
40,168,std::sort,1205200
50,168,own sorting network,9469920900
50,168,openmp sorting network,4518100
50,168,sequential sorting network,4552500
50,168,std::sort,1792000
60,168,own sorting network,13270101100
60,168,openmp sorting network,6346300
60,168,sequential sorting network,6401500
60,168,std::sort,2522800
70,168,own sorting network,17728183800
70,168,openmp sorting network,8365000
70,168,sequential sorting network,8447000
70,168,std::sort,3339600
80,168,own sorting network,22877216100
80,168,openmp sorting network,10729700
80,168,sequential sorting network,10820200
80,168,std::sort,4271700
90,168,own sorting network,28627611600
90,168,openmp sorting network,13641100
90,168,sequential sorting network,13698500
90,168,std::sort,5421000
100,168,own sorting network,35127373900
100,168,openmp sorting network,16757200
100,168,sequential sorting network,16865900
100,168,std::sort,6673700
10,176,own sorting network,668962700
10,176,openmp sorting network,328100
10,176,sequential sorting network,324400
10,176,std::sort,129100
20,176,own sorting network,2044002600
20,176,openmp sorting network,987900
20,176,sequential sorting network,1081400
20,176,std::sort,392900
30,176,own sorting network,4117699600
30,176,openmp sorting network,1966500
30,176,sequential sorting network,2057400
30,176,std::sort,781700
40,176,own sorting network,6867253600
40,176,openmp sorting network,3315200
40,176,sequential sorting network,3374600
40,176,std::sort,1316200
50,176,own sorting network,10315089800
50,176,openmp sorting network,5001000
50,176,sequential sorting network,4997900
50,176,std::sort,1978600
60,176,own sorting network,14439050400
60,176,openmp sorting network,6977700
60,176,sequential sorting network,6946200
60,176,std::sort,2762600
70,176,own sorting network,19199516900
70,176,openmp sorting network,9213000
70,176,sequential sorting network,9156200
70,176,std::sort,3659500
80,176,own sorting network,24649563800
80,176,openmp sorting network,11815700
80,176,sequential sorting network,11740300
80,176,std::sort,4711000
90,176,own sorting network,30761386200
90,176,openmp sorting network,14664700
90,176,sequential sorting network,14715200
90,176,std::sort,5861200
100,176,own sorting network,37578681900
100,176,openmp sorting network,17922500
100,176,sequential sorting network,18001800
100,176,std::sort,7183300
10,184,own sorting network,709631100
10,184,openmp sorting network,337400
10,184,sequential sorting network,347700
